query_id,query,category,key_points,source_page,source_chunk_ids
CGGEN_011,Is it enough in a profitability case to just identify where the profit drop is coming from?,problem_structuring,identifying where profit moved is insufficient on its own;the real goal is explaining why and what can realistically be done about it,12,ConsultingCaseGuide-PPML::chunk_29
CGGEN_012,How does the guide's glossary define a profitability tree?,problem_structuring,definition: splits profit into revenue and cost;further breaks into price/volume/mix (revenue) and fixed/variable (cost),26,ConsultingCaseGuide-PPML::chunk_64
CGGEN_013,I have almost no data -- how am I supposed to estimate market size in an interview?,quantitative_analysis,"break the estimate into a chain of smaller, defensible assumptions;two valid directions: top-down (population, narrow down) or bottom-up (individual consumption, build up);interviewer cares about logic of assumptions, not the exact final number;do a sanity check at the end",14-16,ConsultingCaseGuide-PPML::chunk_34;ConsultingCaseGuide-PPML::chunk_40
CGGEN_014,What's a well-known example of the type of question used to test market sizing skills?,quantitative_analysis,example given: estimating coffee cups sold per year in a city;no exact figure exists to check against;the logic of the build matters more than the number itself,16,ConsultingCaseGuide-PPML::chunk_39
CGGEN_015,"After I compute my market size estimate, what should I do before presenting it?",quantitative_analysis,perform a quick sanity check on the final number;a wildly implausible result signals a flawed assumption;worth revisiting before presenting,16,ConsultingCaseGuide-PPML::chunk_40
CGGEN_016,What do interviewers actually care about when grading a market-sizing answer?,quantitative_analysis,grading criterion: reasonableness and internal consistency of assumptions;not matched against a single 'correct' number,14,ConsultingCaseGuide-PPML::chunk_34
CGGEN_017,"When does break-even analysis typically come up in a case, and what does it actually calculate?",quantitative_analysis,"typically appears with new products, investment decisions, or pricing changes;answers 'how much needs to be sold before revenue covers cost';the calculation itself is usually not the interesting part",16,ConsultingCaseGuide-PPML::chunk_38
CGGEN_018,Is nailing the exact break-even number the hard or important part of a break-even question?,quantitative_analysis,"the exact number is not the main point;realism of the break-even volume matters more (demand uncertainty, production capacity);a mathematically correct number can still be unrealistic",16,ConsultingCaseGuide-PPML::chunk_39
CGGEN_019,What should I say out loud after computing a break-even volume in a case?,quantitative_analysis,"state the calculated number;also state whether it's achievable given the broader market context;both parts are expected, not just the figure",16,ConsultingCaseGuide-PPML::chunk_39
CGGEN_020,How does the guide's glossary define break-even analysis?,quantitative_analysis,definition: how much must be sold before revenue covers total cost;purpose: testing whether a target volume is realistic,26,ConsultingCaseGuide-PPML::chunk_63
CGGEN_021,"What does it mean to be 'hypothesis-driven' in a case interview, and why does it help?",hypothesis_driven,form an early guess (hypothesis) about the cause;test it against evidence rather than exploring all causes equally;speeds up analysis and keeps it anchored to the business question,7,ConsultingCaseGuide-PPML::chunk_17
CGGEN_022,Can you give an example of hypothesis-driven reasoning applied to a profit decline?,hypothesis_driven,"example: hypothesizing revenue (vs. cost) as the cause of a profit decline;next step is requesting data to confirm or reject the hypothesis, not assuming it's true;ties to building an evidence-backed position",7,ConsultingCaseGuide-PPML::chunk_17
CGGEN_023,How do hypotheses change as I move through the analysis phase of the case?,hypothesis_driven,"hypotheses evolve continuously as new data comes in;candidate should prioritize which branch to analyze next, not treat all branches equally;driven by business judgement due to limited time",10,ConsultingCaseGuide-PPML::chunk_25;ConsultingCaseGuide-PPML::chunk_26
CGGEN_024,Which author does the guide credit for the idea that case analysis should build toward an evidence-backed position?,hypothesis_driven,"credited to William Ellet;core idea: build toward an evidence-backed position, not a sequential recap of facts",7,ConsultingCaseGuide-PPML::chunk_17
CGGEN_025,What should my final recommendation to the interviewer include?,recommendation,"four parts: recommendation, evidence, risks/assumptions, next steps;reasoning quality matters more than matching a predetermined 'correct' answer;a well-supported conclusion beats a 'correct' one with weak justification",11,ConsultingCaseGuide-PPML::chunk_27
CGGEN_026,"How many supporting reasons should I give for my recommendation, and why not more?",recommendation,limit to 2-3 supporting reasons;more reasons dilutes the strongest points rather than strengthening the argument;references Cosentino's 'Case in Point',24,ConsultingCaseGuide-PPML::chunk_57;ConsultingCaseGuide-PPML::chunk_58
CGGEN_027,What's a common mistake candidates make when giving their final answer?,recommendation,mistake 1: generic advice not tied to case-specific findings;mistake 2 (opposite): summarizing everything instead of committing to a decision;'a recap is not a recommendation',25,ConsultingCaseGuide-PPML::chunk_61;ConsultingCaseGuide-PPML::chunk_62
CGGEN_028,What tone should my recommendation have by the end of the case?,recommendation,"tone should mirror how a consultant talks to a client;structure: recommendation, 2-3 reasons, risks/next steps;doesn't need to be formal -- the bar is clarity",22-23,ConsultingCaseGuide-PPML::chunk_55;ConsultingCaseGuide-PPML::chunk_56
CGGEN_029,What is 'business judgement' and how does it show up during a case interview?,hypothesis_driven,"definition: a feel for trade-offs, customers, competition, profitability;shown during the analysis phase by prioritizing which branch to pursue next;driven by limited time to explore every explanation",10-26,ConsultingCaseGuide-PPML::chunk_63;ConsultingCaseGuide-PPML::chunk_26
CGGEN_030,How does the guide describe using creativity to demonstrate business judgment without going off the rails?,hypothesis_driven,"creativity should not mean unusual ideas for their own sake;strong candidates spot non-obvious risks/opportunities while staying grounded;phrase: 'creativity paired with discipline, not creativity instead of it'",4,ConsultingCaseGuide-PPML::chunk_11
CGGEN_031,"Which competencies, alongside business judgement, appear on most firms' case interview scorecards?",problem_structuring,"other scorecard competencies: problem structuring, analytical reasoning, quantitative skills, communication, interpersonal skills;business judgement covers trade-offs, customers, competition, profitability, strategic decisions",4-5,ConsultingCaseGuide-PPML::chunk_12;ConsultingCaseGuide-PPML::chunk_13;ConsultingCaseGuide-PPML::chunk_14
CGGEN_032,Firms increasingly score these competencies separately rather than forming one blended impression -- what does that mean for candidates?,problem_structuring,"competencies scored separately, not blended into one impression;strengths/weaknesses show individually;being well-rounded is favored over being excellent in only one dimension",5,ConsultingCaseGuide-PPML::chunk_14
CGGEN_033,"Your client is Solventus Energy, a Spanish renewable energy company. Over the past two years, EBITDA has fallen 34% even though total revenue has grown 18%. The company operates three business units: onshore wind generation, residential electricity retail, and large-scale battery storage construction. The CEO has asked you to identify what is driving the profit decline and recommend a path forward.",problem_structuring,"clarify the precise objective before starting analysis, since similar-sounding goals lead to different analyses;ask clarifying questions rather than assume what the client means;express results as ratios/percentages (margins, growth) rather than raw figures so units of different sizes are comparable",9-15,ConsultingCaseGuide-PPML::chunk_23;ConsultingCaseGuide-PPML::chunk_37
CGGEN_034,"Your client is Verdex AI, a Spanish agri-tech startup that offers an AI-powered crop disease detection system for olive groves and vineyard farms in Spain and Portugal. Its early traction has been especially strong in areas such as Candeleda, Talavera de la Reina, the Sierra de Gredos corridor, and parts of Extremadura and Alentejo. Annual recurring revenue has grown 60% per year for the last two years and the company now serves 340 agricultural cooperative clients. Despite this growth, losses have widened each quarter and burn has accelerated in the last two periods. The founders want to understand the source of the profitability problem and identify a path to financial sustainability.",problem_structuring,"treat frameworks (e.g. a profitability checklist) as scaffolding to adapt, not a script to recite;clarify the precise objective before analyzing, since related-sounding goals can lead to different analyses;ask rather than assume what the client means by the objective",3-9,ConsultingCaseGuide-PPML::chunk_9;ConsultingCaseGuide-PPML::chunk_23
CGGEN_035,"Your client is CF Baluarte Levante, a mid-sized Spanish football club. After being promoted to La Liga in 2019, the club took on significant debt to fund player signings and was relegated back to Segunda Division in 2023. Since relegation, profitability has deteriorated sharply. The majority owner, a US private equity fund, wants to understand why and what levers are available to improve performance within the next 18 months.",hypothesis_driven,"business judgement is defined as a feel for trade-offs, customers, competition, and profitability that guides which issues are worth pursuing;relevant to prioritizing levers under a time constraint;clarify the precise objective (diagnosis vs. levers) before starting analysis",9-26,ConsultingCaseGuide-PPML::chunk_23;ConsultingCaseGuide-PPML::chunk_63
CGGEN_036,"How should a candidate break a profitability problem down into revenue and cost drivers, according to the guide?",problem_structuring,"natural starting point: split profit into revenue and cost;revenue splits into price, volume, mix; cost splits into fixed and variable;don't run it as a fixed checklist -- follow the evidence toward the real driver, external or internal",12,ConsultingCaseGuide-PPML::chunk_29
CGGEN_037,Why should a candidate's cost hypotheses be checked against real data rather than assumed from a plausible-sounding story?,hypothesis_driven,"hypothesis-driven reasoning: form an early guess, then test it against evidence;a plausible-sounding cost story is still just a hypothesis until checked against data;example: hypothesizing revenue vs. cost as the driver of a profit decline, then requesting the data to confirm or kill it",7,ConsultingCaseGuide-PPML::chunk_17
CGGEN_038,Why does explaining what a number means matter more than just stating the correct figure?,quantitative_analysis,"getting the correct number is only half the job;explaining what the number implies is the other half, and it's what gets remembered;applies directly to reporting a metric like EBITDA margin",17,ConsultingCaseGuide-PPML::chunk_41
CGGEN_039,"What does the guide mean by business judgement, and why does it matter when deciding whether a cost-cutting lever is actually feasible?",recommendation,"business judgement: a feel for trade-offs, customers, competition, profitability, and strategic decisions;it's one of the core competencies scorecards evaluate, alongside problem structuring, analysis, and communication;matters for weighing whether a proposed lever (e.g. a cost cut) is actually executable, not just large",4-26,ConsultingCaseGuide-PPML::chunk_13;ConsultingCaseGuide-PPML::chunk_63
CGGEN_040,What does the guide say about naming risks that are specific to the case rather than generic ones?,recommendation,"ignoring a recommendation's weak points reads as naive, not confident;naming one or two real, case-specific risks signals judgement;generic risk-mitigation language isn't a substitute for risks tied to the case's own evidence",8-25,ConsultingCaseGuide-PPML::chunk_60;ConsultingCaseGuide-PPML::chunk_20
CGGEN_041,Why does the guide recommend pausing periodically to summarize findings instead of dumping everything discovered at the end?,communication,"pause periodically to say what's been learned and what it means, rather than dumping findings at the end;this keeps the candidate sounding in control of the material;it also keeps the logic visible to the interviewer instead of burying it in a pile of findings",7,ConsultingCaseGuide-PPML::chunk_19
CGGEN_042,What does the guide say about proposing the next analytical step yourself instead of waiting to be told what to do?,communication,"propose the next step yourself and say why it makes sense, rather than waiting to be told what to do;doesn't mean steamrolling the interviewer with a fixed plan;example: 'since the drop seems to be coming from revenue rather than costs, I'd like to check whether it's a price or volume issue'",21,ConsultingCaseGuide-PPML::chunk_52
CGGEN_043,"How does the guide define business judgement, and why does it matter when deciding whether a cost lever is actually executable?",recommendation,"business judgement: a feel for trade-offs, customers, competition, profitability, strategic decisions;it's a core scored competency, distinct from problem structuring, analysis, and communication;applies to weighing whether a proposed lever is actually executable, not just large",4-26,ConsultingCaseGuide-PPML::chunk_13;ConsultingCaseGuide-PPML::chunk_63
CGGEN_044,"According to the guide, what's the real goal of a profitability case beyond identifying where profit moved?",recommendation,"the real goal of a profitability case is understanding why profit moved, not just where;identifying the location of the problem is only the starting point;the analysis should connect back to what management can realistically do about it",12,ConsultingCaseGuide-PPML::chunk_29
