query_id,query,category,key_points,source_page,source_chunk_ids
PMGEN_014,What are the three main purposes budgeting serves for an organization?,budgeting,"three purposes: planning, controlling, performance evaluation;planning happens before the period, sets up operations;controlling sets targets/limits during the period;performance evaluation compares actual vs. budgeted results",176-177,Principles-of-Managerial-Accounting-profitability::chunk_228;Principles-of-Managerial-Accounting-profitability::chunk_229;Principles-of-Managerial-Accounting-profitability::chunk_230
PMGEN_015,Are budgets fixed once they're set at the start of the period?,budgeting,"budgets are estimates, not actual amounts, prepared before the period begins;they are frequently revised mid-period;reasons for revision: economic changes, sales demand shifts, other unforeseen factors",176,Principles-of-Managerial-Accounting-profitability::chunk_227;Principles-of-Managerial-Accounting-profitability::chunk_228
PMGEN_016,How does the budget actually get used for performance evaluation?,budgeting,performance evaluation compares actual results to budgeted projections;used across departments/activities to check targets and spending limits;feedback used to correct inefficiencies or adjust future budget assumptions,177,Principles-of-Managerial-Accounting-profitability::chunk_230
PMGEN_017,"What are standard costs, and why does a company set them?",variance_analysis,standards = cost/revenue targets used for projections and performance evaluation;quantity standard: how much input is needed;price standard: how much each unit of input should cost;used both to project expenses and evaluate actual results,274-275,Principles-of-Managerial-Accounting-profitability::chunk_348;Principles-of-Managerial-Accounting-profitability::chunk_350
PMGEN_018,How is the total direct materials variance broken down?,variance_analysis,total direct materials variance splits into: quantity variance and price variance;variance is caused by either a quantity difference or a price difference,284,Principles-of-Managerial-Accounting-profitability::chunk_365
PMGEN_019,What cost driver underlies all standard cost variance calculations?,variance_analysis,actual production quantity is the cost driver used across all standard cost variances;the comparison is always: what should have been spent to produce actual output vs. what was actually spent,285,Principles-of-Managerial-Accounting-profitability::chunk_367;Principles-of-Managerial-Accounting-profitability::chunk_368
PMGEN_020,Can you walk through an example of computing a direct materials variance?,variance_analysis,"standard: 4.2 ft/unit at $0.50/ft;150,000 units produced -> standard quantity allowed = 630,000 ft, standard cost allowed = $315,000;actual: 600,000 ft costing $330,000;comparing standard vs. actual splits the variance into quantity and price components",284-286,Principles-of-Managerial-Accounting-profitability::chunk_366;Principles-of-Managerial-Accounting-profitability::chunk_369;Principles-of-Managerial-Accounting-profitability::chunk_370
PMGEN_021,"How is ROI calculated, and what does it actually measure?",performance_evaluation,"ROI formula: net operating income / average operating assets;measures both profitability and efficiency of asset use;usable at the organization, investment center, or project level",338,Principles-of-Managerial-Accounting-profitability::chunk_448
PMGEN_022,"What's residual income, and how do you calculate it?",performance_evaluation,residual income = net operating income - (average operating assets x minimum required rate of return);positive = exceeds minimum required return; negative = falls short of it (but may still be profitable),353-354,Principles-of-Managerial-Accounting-profitability::chunk_469;Principles-of-Managerial-Accounting-profitability::chunk_472
PMGEN_023,"What's the relationship between ROI, profit margin, and asset turnover?",performance_evaluation,formula: ROI = profit margin x asset turnover;profit margin = profitability per sales dollar; asset turnover = efficiency of asset use in generating sales;shows how both dimensions combine into overall ROI,335-339,Principles-of-Managerial-Accounting-profitability::chunk_442;Principles-of-Managerial-Accounting-profitability::chunk_444;Principles-of-Managerial-Accounting-profitability::chunk_451
PMGEN_024,What's a downside of using residual income instead of ROI to evaluate a project?,performance_evaluation,"residual income yields a dollar figure, not a percentage;doesn't reveal the exact return percentage above/below the minimum threshold;ROI is needed alongside it to get the actual percentage",353,Principles-of-Managerial-Accounting-profitability::chunk_469;Principles-of-Managerial-Accounting-profitability::chunk_470
PMGEN_025,"In a make-or-buy decision, which costs should I actually consider relevant?",decision_analysis,"only relevant (avoidable) costs matter -- costs that differ between the make and buy alternatives;costs incurred regardless of the decision (e.g. existing overhead, a supervisor's regular salary) are irrelevant",389-390,Principles-of-Managerial-Accounting-profitability::chunk_517;Principles-of-Managerial-Accounting-profitability::chunk_518;Principles-of-Managerial-Accounting-profitability::chunk_519
PMGEN_026,How does the textbook define 'relevant costs' for differential decision making?,decision_analysis,definition: relevant costs/benefits are those that differ between alternatives;differential decision making = analyzing only these relevant items to choose between alternatives,371,Principles-of-Managerial-Accounting-profitability::chunk_489
PMGEN_027,What four types of decisions does the differential decision making chapter cover?,decision_analysis,"four decision types: add/drop a segment, make or buy, special order, sell or process further;all use the same relevant-cost comparison approach",371,Principles-of-Managerial-Accounting-profitability::chunk_490
PMGEN_029,How do I calculate the payback period for an investment?,capital_budgeting,formula: payback period = investment required / annual net cash inflow;assumes constant annual net cash inflow;expressed in years,423-425,Principles-of-Managerial-Accounting-profitability::chunk_562;Principles-of-Managerial-Accounting-profitability::chunk_563;Principles-of-Managerial-Accounting-profitability::chunk_566
PMGEN_030,Why do I need to add back depreciation when using net operating income to find net cash inflow?,capital_budgeting,"depreciation is a non-cash expense;payback method needs cash inflow, not accounting income;if net operating income is given, depreciation must be added back to get net cash inflow",424-425,Principles-of-Managerial-Accounting-profitability::chunk_565;Principles-of-Managerial-Accounting-profitability::chunk_566
PMGEN_031,What exactly counts as the 'required investment' in a payback period calculation?,capital_budgeting,"required investment = project cost - trade-in/salvage value received;illustrated with the $12,000 purchase / $3,000 trade-in example, yielding $9,000 required investment",424,Principles-of-Managerial-Accounting-profitability::chunk_564
PMGEN_032,"Is payback period meant to be the final decision-making tool, or something else?",capital_budgeting,"payback period is typically a screening tool, not the final decision criterion;used to quickly filter competing projects against a payback threshold (e.g., 3-5 years);other tools (NPV, IRR) are needed for final selection",425,Principles-of-Managerial-Accounting-profitability::chunk_566
PMGEN_033,"How can return on investment (ROI) be used to evaluate the profitability of a specific project, not just a whole business unit?",performance_evaluation,"ROI isn't limited to evaluating whole organizations -- it can score a specific investment or project;formula: ROI = project's net operating income / project's cost;worked example: $3,000 net operating income / $27,000 cost = 11.1% ROI",340-341,Principles-of-Managerial-Accounting-profitability::chunk_453;Principles-of-Managerial-Accounting-profitability::chunk_452
PMGEN_034,"What's an activity variance in flexible-budget analysis, and how does it isolate the effect of a change in sales volume alone?",budgeting,"activity variance = flexible budget amount - planning budget amount;isolates the effect of a change in sales volume alone, holding rates/prices constant;distinct from revenue and spending variances, which isolate price/cost effects at a fixed volume",251-252,Principles-of-Managerial-Accounting-profitability::chunk_320;Principles-of-Managerial-Accounting-profitability::chunk_322
PMGEN_035,"What ratio would show whether a business unit is genuinely less efficient with its assets, rather than just a lower-margin business model?",performance_evaluation,"profit margin ratio evaluates profitability but doesn't relate revenue to operating assets;asset turnover ratio isolates asset efficiency, independent of margin;comparing the two ratios across business units distinguishes 'lower margin business' from 'inefficient with its assets'",336-337,Principles-of-Managerial-Accounting-profitability::chunk_444;Principles-of-Managerial-Accounting-profitability::chunk_447
PMGEN_036,"What ratio measures how efficiently a business unit generates sales from its operating assets, beyond its margin alone?",performance_evaluation,"asset turnover ratio = how efficiently operating assets generate sales revenue;a stable margin doesn't guarantee stable asset efficiency;useful as a second check alongside margin, not a replacement for it",336-337,Principles-of-Managerial-Accounting-profitability::chunk_447;Principles-of-Managerial-Accounting-profitability::chunk_444
PMGEN_037,How can cost-volume-profit analysis be applied to individual customer segments instead of the whole business?,cvp_analysis,"CVP analysis can be run at the segment level, not just for the whole organization;segment CVP requires a contribution-margin-format income statement for that segment;this is the same tool used for whole-organization CVP, just applied per-segment",106-155,Principles-of-Managerial-Accounting-profitability::chunk_205;Principles-of-Managerial-Accounting-profitability::chunk_143
PMGEN_038,"In a differential cost decision, which costs are eliminated when a segment is dropped, and which persist regardless?",decision_analysis,"traceable fixed costs (tied specifically to the segment) are avoided/eliminated if the segment is dropped;common fixed costs (shared across multiple segments) persist regardless and are absorbed elsewhere;only traceable, avoidable costs are relevant to the drop decision",374-376,Principles-of-Managerial-Accounting-profitability::chunk_495;Principles-of-Managerial-Accounting-profitability::chunk_498
PMGEN_039,How does the textbook define relevant costs for a differential decision like cutting a specific cost bucket?,decision_analysis,"relevant costs/benefits = costs/benefits that differ between alternatives;differential decision making analyzes only these relevant items, ignoring costs that don't change;a cost's size relative to revenue doesn't establish relevance -- only whether it changes with the decision does",371-372,Principles-of-Managerial-Accounting-profitability::chunk_489;Principles-of-Managerial-Accounting-profitability::chunk_491
PMGEN_040,"When a flexible-budget revenue variance is unfavorable, how should the manager investigate what caused it?",budgeting,"an unfavorable revenue variance should be traced to its specific, discoverable cause, not just reported as a shortfall;worked example: an unaccounted-for coupon-code promotion explained an unfavorable revenue variance;once the cause is known, the manager can take corrective action or update the budget formula if the cause is permanent",254,Principles-of-Managerial-Accounting-profitability::chunk_327
PMGEN_041,What method compares actual results to a flexible budget at the same sales volume to check whether a business met its revenue and cost targets?,budgeting,"revenue and spending variances = flexible budget vs. actual results, at the same sales volume;isolates whether targets were met on price/cost, separate from any pure volume effect;favorable if targets were met or beaten, unfavorable if not",254,Principles-of-Managerial-Accounting-profitability::chunk_326
PMGEN_042,Why are capital budgeting methods like NPV or payback period only as reliable as the estimates that feed them?,capital_budgeting,"capital budgeting methods (NPV, payback, etc.) are practical tools, but their output is only as good as the input estimates;accuracy and quality of the projection data drives the reliability of the result;a sound method doesn't compensate for poor or already-wrong estimates",452,Principles-of-Managerial-Accounting-profitability::chunk_610
PMGEN_043,What's the most common error when calculating the effect of a change in sales quantity on net operating income?,cvp_analysis,"most common CVP error: valuing a change in volume at sales price instead of contribution margin;only the contribution margin per unit (not full sales price) flows through to net operating income per unit sold, since fixed costs don't move with volume;matters directly when estimating how much a revenue-growth number should move EBITDA or net income",111,Principles-of-Managerial-Accounting-profitability::chunk_150
PMGEN_044,How does cost-volume-profit analysis decompose costs into variable and fixed components to test the effect of price or volume changes?,cvp_analysis,"CVP analysis shows the effect on net operating income from changes in variable costs, fixed costs, selling price, and sales volume;applying it requires decomposing costs into their variable and fixed components, not just naming them;naming a cost-structure split isn't the same as running it through the CVP mechanics",106-117,Principles-of-Managerial-Accounting-profitability::chunk_143;Principles-of-Managerial-Accounting-profitability::chunk_161
