query_id,query,answer,category,source_document,source_page,source_section,source_chunk_ids
CG_011,What is the most frequent failure mode in final recommendations?,Generic advice that isn't tied to the specific case findings (e.g. 'expand into new markets' or 'cut costs'); the opposite failure is trying to summarize everything discussed instead of committing to a decision.,recommendation,ConsultingCaseGuidePPML.pdf,25,8.5 Common Weak Recommendations,ConsultingCaseGuide-PPML::chunk_61;ConsultingCaseGuide-PPML::chunk_62
CG_012,How many supporting reasons should a case interview recommendation typically include?,No more than two or three; piling on five or six reasons usually dilutes the strongest point or two rather than reinforcing the case.,recommendation,ConsultingCaseGuidePPML.pdf,24,8.1 Recommendation Structure,ConsultingCaseGuide-PPML::chunk_57;ConsultingCaseGuide-PPML::chunk_58
CG_013,"Which competency, alongside problem structuring, analytical reasoning, quantitative skills, and communication, involves trade-offs around customers, competition and profitability?",Business judgement -- one of the handful of competencies most firms' scorecards converge on.,problem_structuring,ConsultingCaseGuidePPML.pdf,4,1.3 What Case Interviews Evaluate,ConsultingCaseGuide-PPML::chunk_12;ConsultingCaseGuide-PPML::chunk_13
PM_001,What is the difference between product costs and period costs?,"Product costs are all costs associated with purchasing or producing inventory for resale and are capitalized as part of the inventory asset; period costs are all other costs not tied to producing/purchasing inventory but necessary for sustaining the organization, selling inventory, and servicing customers, and are expensed as incurred.",cost_accounting,Principles-of-Managerial-Accounting-profitability.pdf,12-13,Ch.1 Cost classification: Product or period,Principles-of-Managerial-Accounting-profitability::chunk_29;Principles-of-Managerial-Accounting-profitability::chunk_30
PM_002,What inventory accounts are used to track costs as they flow through a job-order costing system?,"The Raw Materials account, Manufacturing Overhead account, Work in Process account, and Finished Goods account.",cost_accounting,Principles-of-Managerial-Accounting-profitability.pdf,64-67,Ch.2 Job-order costing,Principles-of-Managerial-Accounting-profitability::chunk_91;Principles-of-Managerial-Accounting-profitability::chunk_92
PM_003,What five factors does cost-volume-profit (CVP) analysis estimate the effect of on profit?,"Selling prices, sales volume, unit variable costs, total fixed costs, and the mix of products sold.",cvp_analysis,Principles-of-Managerial-Accounting-profitability.pdf,106-107,Ch.4 Purposes of cost volume profit (CVP) analysis,Principles-of-Managerial-Accounting-profitability::chunk_145;Principles-of-Managerial-Accounting-profitability::chunk_146
PM_004,How is contribution margin per unit calculated?,Sales price per unit minus variable cost per unit.,cvp_analysis,Principles-of-Managerial-Accounting-profitability.pdf,124-125,Ch.4 Break even point and target profit,Principles-of-Managerial-Accounting-profitability::chunk_159;Principles-of-Managerial-Accounting-profitability::chunk_160
PM_005,What are the three purposes of budgeting described in the textbook?,"Planning (before the period begins), controlling (setting targets and limits during the period), and performance evaluation (comparing actual results to the budget).",budgeting,Principles-of-Managerial-Accounting-profitability.pdf,176,Ch.6 Purposes of budgeting,Principles-of-Managerial-Accounting-profitability::chunk_229;Principles-of-Managerial-Accounting-profitability::chunk_230
PM_006,What two components make up the total direct materials variance?,The direct materials quantity variance and the direct materials price variance.,variance_analysis,Principles-of-Managerial-Accounting-profitability.pdf,284,Ch.8 Direct materials variances,Principles-of-Managerial-Accounting-profitability::chunk_374;Principles-of-Managerial-Accounting-profitability::chunk_375
PM_007,How is the return on investment (ROI) ratio calculated?,"Net operating income divided by average operating assets, commonly expressed as a percentage.",performance_evaluation,Principles-of-Managerial-Accounting-profitability.pdf,338,Ch.9 Return on investment (ROI) ratio,Principles-of-Managerial-Accounting-profitability::chunk_448;Principles-of-Managerial-Accounting-profitability::chunk_449
PM_008,How is residual income calculated?,Net operating income minus (average operating assets multiplied by the minimum required rate of return).,performance_evaluation,Principles-of-Managerial-Accounting-profitability.pdf,353-354,Ch.9 Residual income,Principles-of-Managerial-Accounting-profitability::chunk_471;Principles-of-Managerial-Accounting-profitability::chunk_472
PM_010,How does the textbook define relevant costs or benefits for differential decision making?,Relevant costs or benefits are costs or benefits that differ between one or more alternatives; differential decision making is the process of analyzing these relevant costs and benefits to make managerial decisions.,decision_analysis,Principles-of-Managerial-Accounting-profitability.pdf,371-372,Ch.10 Differential decision making,Principles-of-Managerial-Accounting-profitability::chunk_488;Principles-of-Managerial-Accounting-profitability::chunk_489
PM_011,How is the payback period calculated when annual net cash inflow is constant?,Payback period = investment required / annual net cash inflow.,capital_budgeting,Principles-of-Managerial-Accounting-profitability.pdf,423-425,Ch.11 Payback period,Principles-of-Managerial-Accounting-profitability::chunk_585;Principles-of-Managerial-Accounting-profitability::chunk_586
CG_014,How does applying the Pyramid Principle help a candidate be concise?,"Leading with the conclusion and then giving the reasoning behind it tends to make candidates sound more organised almost automatically, and it cuts down on the repetition that creeps in when someone is thinking out loud without a clear destination.",communication,ConsultingCaseGuidePPML.pdf,22,7.3 Being Concise,ConsultingCaseGuide-PPML::chunk_53;ConsultingCaseGuide-PPML::chunk_54
CG_015,How do hypotheses evolve during the 'driving the analysis' phase of a case interview?,Hypotheses keep evolving as the candidate works through each branch of the structure; the candidate should be constantly weighing which analysis is worth doing next rather than working through every branch with equal effort.,hypothesis_driven,ConsultingCaseGuidePPML.pdf,10,3.5 Driving the Analysis,ConsultingCaseGuide-PPML::chunk_25;ConsultingCaseGuide-PPML::chunk_26
CG_016,"How should a candidate break a profitability problem down into revenue and cost drivers, according to the guide?","Split profit into revenue and cost -- revenue further into price, volume, and mix; cost into fixed and variable -- as the natural starting point for each business unit, then follow wherever the evidence points rather than running it as a fixed checklist.",problem_structuring,ConsultingCaseGuidePPML.pdf,12,4.1 Profitability Cases,ConsultingCaseGuide-PPML::chunk_28;ConsultingCaseGuide-PPML::chunk_29
CG_017,What does a good case-interview recommendation need to include so it doesn't just paper over uncertainty?,"A good recommendation doesn't pretend the uncertainty away: it states the conclusion, lays out the evidence behind it, flags the biggest risks, and suggests what to do next -- cases usually don't have an objective right answer, just the position best supported by the evidence available.",recommendation,ConsultingCaseGuidePPML.pdf,8,2.6 Decision-Making Under Uncertainty,ConsultingCaseGuide-PPML::chunk_20
CG_018,"What's the difference between margin and markup, and why does it matter in a case?","Margin and markup aren't the same thing, even though they're used almost interchangeably in conversation: a 25% margin and a 25% markup on cost produce two different prices, and mixing them up mid-case can throw off everything downstream.",quantitative_analysis,ConsultingCaseGuidePPML.pdf,16,5.2 Percentages and Margins,ConsultingCaseGuide-PPML::chunk_38
CG_019,Why does the guide recommend restating the problem in your own words before starting the analysis?,"Restating the case in your own words confirms both sides are on the same page and gives one last chance to catch a misunderstanding before it compounds, while also helping the candidate organize their own thinking heading into the structure-building phase.",communication,ConsultingCaseGuidePPML.pdf,10,3.3 Restating the Problem,ConsultingCaseGuide-PPML::chunk_24
CG_020,What does the guide say about naming risks that are specific to the case rather than generic ones?,"A recommendation that ignores its own weak points tends to come across as naive rather than confident; naming one or two real, case-specific risks is what signals sound judgement, not defaulting to generic risk-mitigation language.",recommendation,ConsultingCaseGuidePPML.pdf,25,8.3 Risks and Limitations,ConsultingCaseGuide-PPML::chunk_60;ConsultingCaseGuide-PPML::chunk_61
PM_012,"What ratio measures a business unit's profitability as a percentage of its revenue, independent of its size?","The profit margin ratio calculates net operating income (EBIT) as a percentage of sales, measuring a manager's ability to generate revenue and control costs independent of how large the unit is.",performance_evaluation,Principles-of-Managerial-Accounting-profitability.pdf,335,Ch.9 Profit margin ratio,Principles-of-Managerial-Accounting-profitability::chunk_442;Principles-of-Managerial-Accounting-profitability::chunk_443
PM_013,What ratio measures how efficiently a business unit uses its operating assets to generate sales revenue?,"The asset turnover ratio measures how efficiently managers use an organization's operating assets to generate sales revenue -- it isolates capital efficiency from profitability, since a unit can grow sales without using its assets any more efficiently.",performance_evaluation,Principles-of-Managerial-Accounting-profitability.pdf,337,Ch.9 Asset turnover ratio,Principles-of-Managerial-Accounting-profitability::chunk_444
PM_014,What method compares actual results to a flexible budget at the same sales volume to check whether a business met its revenue and cost targets?,"Revenue and spending variances are the difference between the flexible budget and actual financial results at the same sales volume, used to evaluate how well the organization achieved its revenue, cost, and profit targets.",budgeting,Principles-of-Managerial-Accounting-profitability.pdf,254,Ch.7 Revenue and spending variances,Principles-of-Managerial-Accounting-profitability::chunk_326;Principles-of-Managerial-Accounting-profitability::chunk_327
PM_015,What method compares the present value of a project's cash inflows to its cash outflows to judge whether the investment is worthwhile?,"The net present value (NPV) method compares the present value of a project's cash inflows to the present value of its cash outflows at a given discount rate; a positive NPV means the investment returns more than the discount rate, a negative NPV means it returns less.",capital_budgeting,Principles-of-Managerial-Accounting-profitability.pdf,442,Ch.11 Net present value (NPV) method,Principles-of-Managerial-Accounting-profitability::chunk_595;Principles-of-Managerial-Accounting-profitability::chunk_596
PM_016,How can cost-volume-profit analysis be applied to individual segments of a business rather than the whole organization?,"Cost-volume-profit (CVP) analysis can be applied to individual segments within an organization, not just the whole company -- segment CVP analysis requires a contribution-margin-format income statement for the segment being evaluated.",cvp_analysis,Principles-of-Managerial-Accounting-profitability.pdf,155,Ch.5 Segment cost volume profit (CVP) analysis,Principles-of-Managerial-Accounting-profitability::chunk_204;Principles-of-Managerial-Accounting-profitability::chunk_205
PM_017,"How do changes in price, sales volume, or fixed costs affect net income under cost-volume-profit analysis?","A change in sales quantity doesn't change per-unit revenue, variable cost, or contribution margin amounts, but it does change total contribution margin and therefore net operating income; changes in price or fixed costs move net income through different mechanisms.",cvp_analysis,Principles-of-Managerial-Accounting-profitability.pdf,116,Ch.4 Changes in sales quantity,Principles-of-Managerial-Accounting-profitability::chunk_158;Principles-of-Managerial-Accounting-profitability::chunk_159
CG_021,"What does a case interview typically ask a candidate to do, according to the guide?","Figure out what the client actually wants, structure the problem, ask for the right information, do some rough math, and finish with a recommendation the candidate can defend.",problem_structuring,ConsultingCaseGuidePPML.pdf,4,1.2 What Is a Consulting Case Interview,ConsultingCaseGuide-PPML::chunk_8
CG_022,"What does MECE mean, and why does it matter when structuring a case?","MECE stands for mutually exclusive, collectively exhaustive -- splitting a problem into buckets that don't overlap and that together cover the ground that matters, to avoid double-counting an issue or missing something that turns out to matter.",problem_structuring,ConsultingCaseGuidePPML.pdf,7,2.2 MECE Thinking,ConsultingCaseGuide-PPML::chunk_16
CG_023,What's the risk of reaching for a framework before fully understanding the case prompt?,"It tends to mean solving the wrong question well -- the only job in the opening minutes is to understand the situation: who the client is, what's going on, and what they're trying to achieve.",problem_structuring,ConsultingCaseGuidePPML.pdf,10,3.1 Understanding the Prompt,ConsultingCaseGuide-PPML::chunk_21;ConsultingCaseGuide-PPML::chunk_22
CG_024,Why does the guide recommend asking clarifying questions before diving into the analysis?,"Not to extract every possible detail, but to pin down what success actually looks like for the client -- since objectives that sound similar, like 'grow revenue' versus 'improve profitability,' can lead to very different analyses.",problem_structuring,ConsultingCaseGuidePPML.pdf,10,3.2 Clarifying the Objective,ConsultingCaseGuide-PPML::chunk_22;ConsultingCaseGuide-PPML::chunk_23
CG_025,What two things does a candidate need to assess in a market entry case?,"How attractive the market is, and how well-positioned the company is to compete in it -- thinking through demand, competitive intensity, entry barriers, regulation, and what it would take to build a sustainable position.",problem_structuring,ConsultingCaseGuidePPML.pdf,13,4.2 Market Entry Cases,ConsultingCaseGuide-PPML::chunk_29;ConsultingCaseGuide-PPML::chunk_30
CG_026,"How do growth strategy cases differ from profitability cases, according to the guide?","Growth cases assume the business is doing reasonably well and is looking for more, as opposed to profitability cases, where something's usually broken -- the weight falls more on strategic judgment than financial modeling.",problem_structuring,ConsultingCaseGuidePPML.pdf,14,4.3 Growth Strategy Cases,ConsultingCaseGuide-PPML::chunk_31
CG_027,What factors does the guide say are relevant when recommending a price?,"Production cost, what customers are actually willing to pay, competitor pricing, and how the product is positioned -- since a higher price can sometimes boost profit even as volume drops, and a lower one can sometimes be the right call to build share.",problem_structuring,ConsultingCaseGuidePPML.pdf,14,4.4 Pricing Cases,ConsultingCaseGuide-PPML::chunk_32
CG_028,What do operations cases typically focus on?,"Making a company's internal processes work better -- lower costs, higher output, better quality, without hurting the customer experience -- covering manufacturing efficiency, supply chain, inventory, and capacity planning.",problem_structuring,ConsultingCaseGuidePPML.pdf,14,4.5 Operations Cases,ConsultingCaseGuide-PPML::chunk_32
CG_029,"What does a worthwhile M&A deal need to create, according to the guide?","Value that neither company could generate alone, through cost savings, revenue synergies, new market access, or some combination -- and good recommendations should acknowledge that projected synergies often don't fully materialize.",problem_structuring,ConsultingCaseGuidePPML.pdf,14,4.6 Mergers and Acquisitions Cases,ConsultingCaseGuide-PPML::chunk_33;ConsultingCaseGuide-PPML::chunk_34
CG_030,"Why can't candidates use a calculator in most case interviews, and what does that mean for how they should approach the maths?","Interviewers expect candidates to do relatively simple calculations mentally or on paper while narrating what they're doing -- the goal isn't to be exceptionally fast, it's to stay accurate and keep the logic visible.",quantitative_analysis,ConsultingCaseGuidePPML.pdf,16,5.1 Mental Maths,ConsultingCaseGuide-PPML::chunk_35;ConsultingCaseGuide-PPML::chunk_36
CG_031,What should a candidate check before drawing conclusions from a chart or table in a case?,"What the axes are, what the units are, and what time period or segment is being shown -- checking whether values are absolute numbers or percentages, and whether they're annual or cumulative, before interpreting the data.",quantitative_analysis,ConsultingCaseGuidePPML.pdf,19,6.1 Reading Tables and Charts,ConsultingCaseGuide-PPML::chunk_43
CG_032,Why are trends generally more useful than single data points in a case interview?,"Because they hint at a cause, even before that cause has been confirmed -- though not every trend is meaningful, so candidates are expected to judge which changes are worth investigating further and which are probably just noise.",quantitative_analysis,ConsultingCaseGuidePPML.pdf,20,6.2 Identifying Trends,ConsultingCaseGuide-PPML::chunk_45
CG_033,Why is comparing data across segments often where the real insight in a case shows up?,"A company's overall numbers might look fine while one particular segment is quietly dragging performance down, or one segment might be performing so well it's masking problems elsewhere -- the comparison is just the starting point, the explanation behind it is what matters.",quantitative_analysis,ConsultingCaseGuidePPML.pdf,20,6.3 Comparing Segments,ConsultingCaseGuide-PPML::chunk_45;ConsultingCaseGuide-PPML::chunk_46
CG_034,What question should a candidate keep asking themselves after every calculation or chart?,"'So what?' -- turning a number into an insight means explaining what's actually driving it and what it implies for the client's situation, not just stating the number itself.",quantitative_analysis,ConsultingCaseGuidePPML.pdf,20,6.4 Extracting Business Insights,ConsultingCaseGuide-PPML::chunk_46;ConsultingCaseGuide-PPML::chunk_47
CG_035,What does 'driving the conversation' mean for a candidate in a case interview?,"Carrying some of the momentum themselves rather than waiting to be told what to do next -- proposing the next step and saying why it makes sense, based on what's already been found.",communication,ConsultingCaseGuidePPML.pdf,22,7.1 Driving the Conversation,ConsultingCaseGuide-PPML::chunk_51;ConsultingCaseGuide-PPML::chunk_52
CG_036,What should every reason given in a final recommendation trace back to?,"Something established earlier in the case -- a number calculated, a trend spotted, an assumption tested -- rather than vague, general business logic that would sound like a template instead of an answer to this particular problem.",recommendation,ConsultingCaseGuidePPML.pdf,25,8.2 Supporting Evidence,ConsultingCaseGuide-PPML::chunk_58
CG_037,What does the guide say makes a candidate look organized during a case interview?,"Several things contribute to this across the guide -- using frameworks as a window into organized thinking, leading with top-down, conclusion-first communication, pausing to synthesize findings along the way, and following a structured process from clarifying the objective through to a final recommendation.",ambiguous,ConsultingCaseGuidePPML.pdf,,Ambiguous: what makes a candidate look organized,ConsultingCaseGuide-PPML::chunk_15
CG_038,"What's the biggest mistake candidates make in a case interview, according to the guide?","The guide points to several recurring mistakes rather than one single biggest one -- jumping to a framework before understanding the prompt, treating a framework as a script to recite, rushing through quantitative work without explaining what it means, and closing with a generic recommendation that isn't tied to the specific case findings.",ambiguous,ConsultingCaseGuidePPML.pdf,,Ambiguous: biggest case interview mistake,ConsultingCaseGuide-PPML::chunk_62
PM_018,What's the difference between financial accounting and managerial accounting?,"Financial accounting is concerned with classifying, recording, and reporting financial transactions in a formal accounting system, and is relatively uniform because it's prescribed by regulatory bodies like the SEC and FASB for external users such as investors and creditors. Managerial accounting is concerned with classifying, analyzing, and reporting data for internal decision making, and its tools aren't prescribed by any regulator -- they're customized to the needs of internal managers.",cost_accounting,Principles-of-Managerial-Accounting-profitability.pdf,27,Ch.1 Managerial vs financial accounting,Principles-of-Managerial-Accounting-profitability::chunk_27;Principles-of-Managerial-Accounting-profitability::chunk_28
PM_019,How is the predetermined manufacturing overhead rate calculated?,"An organization-wide predetermined manufacturing overhead rate is computed by dividing total estimated manufacturing overhead for the period by the total estimated allocation base or cost driver, such as direct labor hours or machine hours. It's calculated at the beginning of the year or quarter, before actual costs are known, and then used to apply overhead to jobs as they're produced.",cost_accounting,Principles-of-Managerial-Accounting-profitability.pdf,87,Ch.2 Predetermined overhead rate,Principles-of-Managerial-Accounting-profitability::chunk_105;Principles-of-Managerial-Accounting-profitability::chunk_106
PM_020,How does a change in sales quantity affect net operating income in CVP analysis?,"A change in sales quantity doesn't change per-unit sales price, variable cost, or the contribution margin ratio -- those stay the same. But it does change total sales dollars, total variable costs, and total contribution margin, and since fixed costs don't change, net operating income moves by the change in total contribution margin, not by the full per-unit sales price.",cvp_analysis,Principles-of-Managerial-Accounting-profitability.pdf,127,Ch.4 CVP and changes in sales quantity,Principles-of-Managerial-Accounting-profitability::chunk_159;Principles-of-Managerial-Accounting-profitability::chunk_160
PM_021,What's the difference between break-even and target profit?,"Break-even is the point where net operating income equals zero, meaning sales revenue just covers total variable and fixed costs. Target profit uses the same type of calculation but instead finds the sales volume needed to earn a specific profit amount rather than just breaking even.",cvp_analysis,Principles-of-Managerial-Accounting-profitability.pdf,140,Ch.4 Break-even and target profit,Principles-of-Managerial-Accounting-profitability::chunk_168;Principles-of-Managerial-Accounting-profitability::chunk_169
PM_022,Why would a company prepare segmented income statements?,"Besides looking at companywide income, managers and owners also need to measure the profitability of individual segments within the organization -- like divisions, individual stores, geographic regions, customers, or product lines. A large or complex organization may segment its financial data in multiple ways to analyze its different parts.",performance_evaluation,Principles-of-Managerial-Accounting-profitability.pdf,155,Ch.5 Purposes of segmented reporting,Principles-of-Managerial-Accounting-profitability::chunk_185;Principles-of-Managerial-Accounting-profitability::chunk_186
PM_023,How is a segmented income statement different from a regular contribution margin income statement?,"Both use the contribution margin format, but a segmented income statement reports a segment margin in addition to the overall contribution margin, and it splits fixed expenses into traceable fixed costs and common fixed costs instead of reporting fixed expenses as one total.",performance_evaluation,Principles-of-Managerial-Accounting-profitability.pdf,162,Ch.5 Preparing a segmented income statement,Principles-of-Managerial-Accounting-profitability::chunk_193;Principles-of-Managerial-Accounting-profitability::chunk_194
PM_024,What's the difference between contribution margin and segment margin?,"Contribution margin is sales revenue less variable expenses, and it's calculated the same way on both the contribution margin income statement and the segmented income statement. Segment margin goes further by subtracting the fixed costs traceable to that particular segment, representing the segment's profitability before common fixed costs are considered.",performance_evaluation,Principles-of-Managerial-Accounting-profitability.pdf,164,Ch.5 Contribution margin vs segment margin,Principles-of-Managerial-Accounting-profitability::chunk_194;Principles-of-Managerial-Accounting-profitability::chunk_195
PM_025,How are common fixed costs treated differently from traceable fixed costs when preparing a segmented income statement?,"Traceable fixed costs can be traced directly to a specific segment and would be eliminated if that segment were dropped, so they're subtracted from contribution margin to get the segment margin. Common fixed costs are shared across segments and wouldn't go away if one segment were eliminated, so instead of being allocated to segments they're deducted from the total segment margin to arrive at companywide net operating income.",performance_evaluation,Principles-of-Managerial-Accounting-profitability.pdf,166,Ch.5 Traceable vs common fixed costs,Principles-of-Managerial-Accounting-profitability::chunk_199;Principles-of-Managerial-Accounting-profitability::chunk_200
PM_026,What is a production budget and how is it calculated?,"The production budget estimates how many units need to be produced to meet sales demand and maintain a desired level of ending finished goods inventory. It's calculated as budgeted units in sales plus desired ending inventory, minus the beginning inventory carried forward from the prior period.",budgeting,Principles-of-Managerial-Accounting-profitability.pdf,201,Ch.6 Production budget,Principles-of-Managerial-Accounting-profitability::chunk_239
PM_027,What does the direct materials purchases budget estimate?,"The direct materials purchases budget estimates how much raw material needs to be purchased to cover the units scheduled for production, plus a desired level of ending raw materials inventory that acts as a buffer against supply chain or demand surprises. It's prepared for each type of direct material used, right after the production budget.",budgeting,Principles-of-Managerial-Accounting-profitability.pdf,205,Ch.6 Direct materials purchases budget,Principles-of-Managerial-Accounting-profitability::chunk_246
PM_028,What costs are included in the manufacturing overhead budget?,"The manufacturing overhead budget calculates the total manufacturing overhead needed to satisfy production needs, including indirect materials, indirect labor, and other manufacturing costs like rent, insurance, taxes, and utilities. It's built by classifying these costs as variable (a cost per unit) or fixed (a lump sum) for the period.",budgeting,Principles-of-Managerial-Accounting-profitability.pdf,214,Ch.6 Manufacturing overhead budget,Principles-of-Managerial-Accounting-profitability::chunk_393
PM_029,What is a planning budget?,"A planning budget is a detailed financial plan for future time periods, prepared before the budgeted period begins using historical data along with sales and production projections. Because it's prepared in advance, the amounts in a planning budget are estimates rather than actual results.",budgeting,Principles-of-Managerial-Accounting-profitability.pdf,246,Ch.7 Planning budgets,Principles-of-Managerial-Accounting-profitability::chunk_293
PM_030,How is a flexible budget different from a planning budget?,"A planning budget is prepared before the period begins using the planned level of activity. A flexible budget uses the same revenue and cost formulas but reforecasts them using the actual level of activity after the period is over, which makes it possible to fairly compare budgeted targets against actual results for performance evaluation.",budgeting,Principles-of-Managerial-Accounting-profitability.pdf,260,Ch.7 Flexible budget vs planning budget,Principles-of-Managerial-Accounting-profitability::chunk_313;Principles-of-Managerial-Accounting-profitability::chunk_314
PM_031,What's the difference between a quantity standard and a price standard?,"Standards are cost or revenue targets used to make financial projections and evaluate performance. The quantity standard establishes how much of an input is needed to make a product or provide a service, while the price standard specifies how much each unit of that input should cost.",variance_analysis,Principles-of-Managerial-Accounting-profitability.pdf,291,Ch.8 Quantity vs price standards,Principles-of-Managerial-Accounting-profitability::chunk_350
PM_032,What are the four types of responsibility centers?,"Responsibility centers are segments within an organization to which authority and responsibility have been delegated. The four main types are revenue centers, cost centers, profit centers, and investment centers, and each is evaluated using different accounting tools depending on what the manager is responsible for.",performance_evaluation,Principles-of-Managerial-Accounting-profitability.pdf,345,Ch.9 Responsibility centers,Principles-of-Managerial-Accounting-profitability::chunk_433;Principles-of-Managerial-Accounting-profitability::chunk_434
PM_033,What is social return on investment (SROI)?,"Social return on investment (SROI) is a relatively new tool organizations use to quantify social responsibility and environmental benefits, addressing a key weakness of traditional ROI, which focuses almost exclusively on short-term financial profitability and ignores social or environmental value. Quantifying SROI typically involves assigning a monetary amount to a project's social impact.",performance_evaluation,Principles-of-Managerial-Accounting-profitability.pdf,365,Ch.9 Social return on investment,Principles-of-Managerial-Accounting-profitability::chunk_463
PM_034,What should you consider before dropping a product line?,"An add-or-drop-a-segment decision should only consider relevant, avoidable costs and revenues -- traceable fixed costs that would actually be eliminated if the segment is dropped matter, but common fixed costs that would continue regardless don't. A segment that looks unprofitable on a segmented income statement can be misleading if the loss is driven by allocated common costs that wouldn't really go away.",decision_analysis,Principles-of-Managerial-Accounting-profitability.pdf,392,Ch.10 Add or drop a segment,Principles-of-Managerial-Accounting-profitability::chunk_502
PM_035,What is a special order decision?,"A special order is a one-time order that falls outside an organization's normal sales cycle and isn't part of its budgeted sales projections -- for example, a discounted batch requested for a fundraising event. Differential analysis is used to determine whether the price offered covers the relevant costs of fulfilling the order.",decision_analysis,Principles-of-Managerial-Accounting-profitability.pdf,410,Ch.10 Special order decisions,Principles-of-Managerial-Accounting-profitability::chunk_523
PM_036,How do you calculate the simple rate of return for an investment?,"The simple rate of return is calculated as the project's annual net operating income divided by the investment required. Unlike the payback period, it uses net operating income (which includes depreciation) rather than net cash inflow, but like the payback method it still ignores the time value of money.",capital_budgeting,Principles-of-Managerial-Accounting-profitability.pdf,445,Ch.11 Simple rate of return,Principles-of-Managerial-Accounting-profitability::chunk_572;Principles-of-Managerial-Accounting-profitability::chunk_573
PM_037,Why is money today worth more than the same amount of money in the future?,"Money available today is worth more than an identical amount received later because of inflation and, more importantly for capital budgeting, because money in hand today can be invested to earn interest or a return. For example, $1,000,000 invested today at 3% interest becomes $1,030,000 a year from now.",capital_budgeting,Principles-of-Managerial-Accounting-profitability.pdf,449,Ch.11 Time value of money,Principles-of-Managerial-Accounting-profitability::chunk_579;Principles-of-Managerial-Accounting-profitability::chunk_580
PM_038,What's the difference between a cost and an expense in managerial accounting?,"The textbook defines an expense as the cost of operations a company incurs to generate revenue, recognized in the same period as the revenue it helped produce. Costs are a broader category -- for example, product costs are capitalized into inventory and only become an expense (cost of goods sold) once the product is sold, while period costs are expensed as soon as they're incurred.",ambiguous,Principles-of-Managerial-Accounting-profitability.pdf,28,Ambiguous: cost vs expense,Principles-of-Managerial-Accounting-profitability::chunk_626
