chunk_id,page,content
Principles-of-Managerial-Accounting-profitability::chunk_14,17,"INTRODUCTION
Principles of Ma nagerial A ccounting is an inno vative
video textbook that is intended to be watched as much as it
is read. Users learn fundamental managerial ac counting
principles b y reading about the c oncepts in the te xt
immediately followed by watching short vide os where the
concepts are applied in demonstration problems. Each chapter
contains detaile d written e xplanations of fundamental
managerial accounting concepts such as c ost behavior, job
costing, c ost classific ations, c ost v olume profit analysis,
incremental decision making, budgeting, and variance analysis.
Video Illustrations are embedded within the written text to
actively demonstrate the accounting concepts. Each chapter
is concluded with a series of comprehensive “Practice Video
Problems” in which the c oncepts are app lied to unique
business situations. Interactive elements are also embedded"
Principles-of-Managerial-Accounting-profitability::chunk_15,17,"Problems” in which the c oncepts are app lied to unique
business situations. Interactive elements are also embedded
throughout this te xtbook. “Check y our understanding”
questions follow the major learning objectives. And interactive
“Review” and “Homework” questions are included at the end
of every chapter.
This vide o te xtbook is p articularly suite d f or distanc e
education courses, hybrid courses, personal interest self-study,
INTRODUCTION | 1"
Principles-of-Managerial-Accounting-profitability::chunk_16,18,"or any other circumstance in which users don’t receive the
educational benefits from traditional, in-person lectures.
2 | INTRODUCTION"
Principles-of-Managerial-Accounting-profitability::chunk_17,19,"HOW TO USE THIS
VIDEO TEXTBOOK
HOW TO USE THIS VIDEO TEXTBOOK | 3"
Principles-of-Managerial-Accounting-profitability::chunk_18,20,"ABOUT THE AUTHOR
Patty Goedl, CPA (OH inactive), PhD
Professor, Accounting
University of Cincinnati, Clermont College
4200 Clermont College Drive
Batavia, OH 45103
513-515-0087
Patricia.Goedl@uc.edu
Dr. P atty Goe dl is a Prof essor of Ac counting at the
University of Cincinnati, Clermont Co llege. P atty is
passionate about teaching excellence and the scholarship of
teaching and learning. She has received numerous teaching
honors, including but not limited to the Faculty Recognition
Award: Exc ellence i n T eaching, F aculty Rec ognition Awa rd:
Teaching Outsi de t he Classroom, a nd t he Dea n’s Excellence
Award. She has as numerous publications and presentations
4 | ABOUT THE AUTHOR"
Principles-of-Managerial-Accounting-profitability::chunk_19,21,"related to the scho larship of teaching and learning.
Additionally, she is the founding member of two successful
educational conferences, the 3T: Teaching, Techniques and
Technology Conf erence and the Ei3: E quity, Inclusion,
Innovation, and Imp act undergraduate student research
conference.
In her fre e time, P atty enjo ys me ditation, nature, and
animals. She lives on a five-acre horse farm where she maintains
what could be called a small petting zoo. She enjoys spending
time with her husb and (Duane), tw o daughters (Kelly &
Stephanie), and her granddaughter (Kinsley).
NOTE TO STUDENTS
I wrote this book for my students. In recent years, textbook
costs, like everything else, have increased exponentially. I
published this book as an Open Educational Resource, so
students did not need to purchase yet another expensive
textbook. I hope you enjoy this video textbook. It is my gift to"
Principles-of-Managerial-Accounting-profitability::chunk_20,21,"textbook. I hope you enjoy this video textbook. It is my gift to
you.
ABOUT THE AUTHOR | 5"
Principles-of-Managerial-Accounting-profitability::chunk_21,22,"ACKNOWLEDGEMENTS
I appreciate the support of my family as well the the University
of Cincinnati, Clermont College.
I also w ant to ackno wledge Sharon Strickland. She
contributed c ontent f or the Che ck y our understanding,
Review questions, and Homework questions.
Sharon Strickland, MS Taxation
Academic and Professional
I earned my Accounting and Taxation degrees from The
University of Cincinnati. I serv ed the State of Ohio
Department of Taxation as Audit and Tax Technical Training
Manager. I currently teach and create course content related
to Financial and M anagerial Accounting, and Taxation of
Individuals through The University of Cincinnati, Lindner
School of Business and Clermont Co llege, and Gatew ay
Online as part of The Kentucky Community and Technical
6 | ACKNOWLEDGEMENTS"
Principles-of-Managerial-Accounting-profitability::chunk_22,23,"College System. I have also taught accounting courses at The
University of Dayton, Mount Saint Joseph University, and
UC Blue Ash College. I serve as Vice Chair of the Batavia
Township Zoning Appeals Board and previously served on the
Clermont County Chamber of Commerce’s Agenda for the
Future , on the Finance Committee of the Clermont County
Senior Services, as a board member of the Clermont County
Planning Commission, as Program M anager of Bata via
Rotary, and as v oting manager f or the Clermont County
Board of Elections.
Personal Biography
I enjoy teaching, creating content, participating in and leading
yoga classes, gardening, and hiking with my friends and pets.I
offer yoga classes at my privately owned studio, am in a Euchre
Club, and am the founding member of Mt. Holly Book Club.
I enjoy life with my husband, a mechanic and builder. We share"
Principles-of-Managerial-Accounting-profitability::chunk_23,23,"Club, and am the founding member of Mt. Holly Book Club.
I enjoy life with my husband, a mechanic and builder. We share
our home with our two German Shepherds and litter of four
cats. My twin adult sons both work in the electrical industry
where one is a mechanical engineer and the other a project
manager.
Statement of Teaching Philosophy
My goal as an accounting teacher is to prepare students to
meet the demands of the employment market for technically
and ethically educated accounting professionals that possess
ACKNOWLEDGEMENTS | 7"
Principles-of-Managerial-Accounting-profitability::chunk_24,24,"the abilities to think critically and make rational decisions.
Successful students will c ommunicate effectively using the
language of business to accurately apply essential accounting
principles in a manner that reflects the values of responsibility
and trust. Suc cessful students will also possess an
understanding of where the information is sourced, why the
information is essential, and how the information is used. I
best pro vide this e ducation b y eff ectively c ommunicating
expectations, pro viding clear, c oncise, and engaging
information in multip le f ormats, using relativ e e xamples,
accurately demonstrating application of principles through
completion of e xercises that reinf orce spe cific learning
objectives, providing ample opportunity f or practice with
feedback and refinement, and constantly being a model of
ethics in action.
8 | ACKNOWLEDGEMENTS"
Principles-of-Managerial-Accounting-profitability::chunk_25,25,"1.
MANAGERIAL
ACCOUNTING AND
COST CONCEPTS
Learning Objectives LO
MANAGERIAL ACCOUNTING AND COST CONCEPTS | 9"
Principles-of-Managerial-Accounting-profitability::chunk_26,26,"LO1 Distinguish the different purposes of financial
accounting and managerial accounting
LO2 Distinguish between product and period costs
and classify product costs as direct material, direct
labor, or manufacturing overhead
LO3 Distinguish between fixed, mixed, and variable
costs, and relate them to cost drivers
LO4 Define the relevant range of production
LO5 Use the high-low method to predict future costs
LO6 Contrast the contribution margin income
statement and the traditional income statement
LO7 Construct a traditional income statement
LO8 Construct a contribution margin income
statement and calculate the contribution margin
amount and ratio
10 | MANAGERIAL ACCOUNTING AND COST CONCEPTS"
Principles-of-Managerial-Accounting-profitability::chunk_27,27,"Managerial accounting
versus financial accounting
LO1
In general, financial ac counting is c oncerned with
classifying, recording, and reporting financial transactions in
a formal accounting system. Financial accounting is relatively
uniform and prescribed by various regulatory bodies, such as
the Se curities and Ex change Commission, the Financial
Accounting Standards Bo ard, and the Pub lic Comp any
Accounting Ov ersight Bo ard. Ac countants, higher
management, creditors, investors, and other external users are
the primary users of financial accounting reports.
Managerial accounting is c oncerned with classifying,
analyzing, and reporting data for internal decision making.
Managerial accounting tools are used by management to plan,
control, and evaluate business operations and to make internal
business decisions. Managerial accounting tools and reports"
Principles-of-Managerial-Accounting-profitability::chunk_28,27,"business decisions. Managerial accounting tools and reports
are not prescribed by a regulatory body. Instead, they are
customized to meet the specific needs of the organization’s
internal users. Managers and internal decision makers are the
primary users of managerial accounting reports and tools.
MANAGERIAL ACCOUNTING AND COST CONCEPTS | 11"
Principles-of-Managerial-Accounting-profitability::chunk_29,28,"Cost classification: Product or
period LO2
Cost classification is the process of separating costs into
different categories. The costs incurred by an organization can
be classifie d in man y diff erent w ays. An important c ost
classification in ac counting is distinguishing product c osts
from period costs. In financial accounting, product costs are
treated differently than period costs. As a general rule, product
costs are capitalized as a part of the inventory asset account;
whereas, period costs are expensed as incurred.
Product c osts are all c osts associate d with
purchasing or producing inventory for resale.
Period costs are all other costs not associated with
purchasing or producing inventory for resale but are
necessary for sustaining the organization, selling the
inventory, and servicing customers.
Merchandising business: Product
and period cost classifications"
Principles-of-Managerial-Accounting-profitability::chunk_30,28,"inventory, and servicing customers.
Merchandising business: Product
and period cost classifications
A merchandising businessis a business entity that purchases
finished in ventory products from the business that
manufactures the inventory with the intent to resale it and
make a profit. A merchandiser makes a profit by marking up
the inventory and selling it at a higher price to its customers.
12 | MANAGERIAL ACCOUNTING AND COST CONCEPTS"
Principles-of-Managerial-Accounting-profitability::chunk_31,29,"Retail stores such as W almart and Target are e xamples of
merchandising operations.
For a merchandiser, the costs of purchasing and holding
the inventory are product costs. All other costs associated
with sustaining the organization and selling the product are
classified as period c osts. Period costs include all non-
inventory costs such as rent, utilities, wages, customer service,
and advertising. While period costs are important to sustaining
the organization, selling the in ventory, and servicing
customers, they are not included in the cost of the inventory.
To illustrate, assume that Kelly owns a small business selling
seat cushions at sporting events. She buys the cushions from a
wholesale company for $1 each and resales them to customers
at the stadium for $5 each. Last year, she sold 10,500 seat
cushions. She also paid $15,000 for rent on her booth and"
Principles-of-Managerial-Accounting-profitability::chunk_32,29,"at the stadium for $5 each. Last year, she sold 10,500 seat
cushions. She also paid $15,000 for rent on her booth and
$9,600 for miscellaneous expenses. In this example, product
costs are the c ost of purchasing the in ventory f or resell.
Product costs are calculated as $1 per cushion times 10,500
sold equals $10,500. Period costs are $15,000 rent plus $9,600
miscellaneous expenses for a total of $24,600. Period costs are
the other non-in ventory c osts Kelly incurre d to run her
business.
Manufacturing business: Product
and period cost classifications
A manufacturing businessis a business entity that uses raw
MANAGERIAL ACCOUNTING AND COST CONCEPTS | 13"
Principles-of-Managerial-Accounting-profitability::chunk_33,30,"materials, parts, or other components to make a finished good.
The finishe d goods are c onsidered in ventory in a
manufacturing organization. A manufacturer makes a profit
by selling the inventory for more than it costs them to produce
the inventory for resell.
For a manufacturer, the costs associated with making the
inventory are product c osts. In manuf acturing, the thre e
categories of costs included in product costs are:
Direct materials—raw materials costs that can be
easily and economically traced to the production of the
product.
Direct labor—manufacturing labor costs that can
be easily and economically traced to the production of
the product.
Manufacturing overhead—all other indirect costs
associated with manufacturing the product that are not
direct material or direct labor. All indirect—not direct
material or dire ct labor—c osts incurre d in the"
Principles-of-Managerial-Accounting-profitability::chunk_34,30,"direct material or direct labor. All indirect—not direct
material or dire ct labor—c osts incurre d in the
manufacturing process are included in manufacturing
overhead. Examples of manufacturing overhead costs
include indirect materials, e.g. glue, nails, sandpaper;
indirect labor, e.g. the production supervisor’s salary or
quality control; and all other production costs incurred
to run the production facility, e.g. rent, utilities, and
taxes on the production facility.
All other costs associated with sustaining the organization
and selling the product are classified as period costs. Period
14 | MANAGERIAL ACCOUNTING AND COST CONCEPTS"
Principles-of-Managerial-Accounting-profitability::chunk_35,31,"costs include all non-in ventory costs such as the c osts to
provide administrative and selling servic es including rent,
utilities, w ages, customer servic e, and adv ertising. While
period costs are important to sustaining the organization,
selling the inventory, and servicing customers, they are not
included in the cost of producing inventory.
Video Illustration 1-1:
Identifying product and
period cost classifications for
a manufacturer LO2
Cincy Chips manufactures microchips for small
electronic devices. Classify the costs in Exhibit 1-1
as product costs or period costs. If the cost is
a product cost, classify the cost as direct
material (DM), direct labor (DL), or
manufacturing overhead (OH).
The processes to solve the following scenario are
demonstrated in Video Illustration 1-1 below.
Exhibit 1-1 Cost classification chart and
video explanation"
Principles-of-Managerial-Accounting-profitability::chunk_36,31,"demonstrated in Video Illustration 1-1 below.
Exhibit 1-1 Cost classification chart and
video explanation
MANAGERIAL ACCOUNTING AND COST CONCEPTS | 15"
Principles-of-Managerial-Accounting-profitability::chunk_37,32,"Click icon or go to https://uc.mediaspace.kaltura.com/
id/
1_ojdfg8gc?width=896&height=866&playerId=49148
882
16 | MANAGERIAL ACCOUNTING AND COST CONCEPTS"
Principles-of-Managerial-Accounting-profitability::chunk_38,33,"Check your understanding LO2
An interactive H5P element has been
excluded from this version of the text. You
can view it online here:
https://ucincinnatipress.pressbooks.pub/
principlesaccounting/?p=38#h5p-1
Cost behavior: Variable, fixed,
and mixed LO3
Another important classification in managerial accounting is
cost behavior. Cost behavior is how a cost reacts to changes in
production, usage, or sales quantity. Cost behavior is classified
as variable, fixed, or mixed.
Variable cost—the same cost per unit but the total
cost depends on the quantity produced, used, or sold.
MANAGERIAL ACCOUNTING AND COST CONCEPTS | 17"
Principles-of-Managerial-Accounting-profitability::chunk_39,34,"Variable costs are variable in relation to some kind of
activity driver. An activity driver is an activity that
causes the incurrence of the variable cost. Common
activity drivers are units of sales, units of production,
direct labor hours worked, or machine hours used.
Fixed cost—the same cost in total regardless of the
quantity produced, used, or sold but the per-unit cost
changes depending on the quantity produced, used, or
sold.
Mixed cost—a cost that has both a variable and a
fixed component. The variable component of a mixed
cost must be v ariable in relationship to an activity
driver.
An effective manager must consider cost behavior in order
to predict future costs.
To illustrate cost behavior assume that Big Drink Company
sells drinks in souvenir cups at an entertainment venue. Big
Drink purchases the souvenir cups from a manufacturer for $1"
Principles-of-Managerial-Accounting-profitability::chunk_40,34,"Drink purchases the souvenir cups from a manufacturer for $1
each. Then they sell the cups for $10 filled with the customer’s
choice of beverage.
The cost of the souvenir cups is avariable cost. The activity
driver is the number of units sold. One units sold requires one
cup. The cost per cup is always $1 per unit but the total cost
incurred depends on how many drinks are sold. For example,
if they sell 100 drinks, the total costs are $1 times 100 equals
$100. If they sell 500 drinks, the total costs are $1 times 500
18 | MANAGERIAL ACCOUNTING AND COST CONCEPTS"
Principles-of-Managerial-Accounting-profitability::chunk_41,35,"equals $500. Per unit cost is always $1 but total cost changes
depending on activity.
The cost of renting the booth at the entertainment venue
is a fixed cost. Assume Big Drink pays $3,500 per month to
rent a booth at the entertainment venue. The total cost for
rent is always the same regardless of how many drinks they sell.
However, the per-unit cost allocated to drinks sold changes
depending on the quantity sold. For example, if Big Drink
sells 100 drinks the rent amount allocated per-unit is $3,500
divided by 100 equals $35 per drink. If they sell 500 drinks, the
rent amount allocated per-unit is $3,500 divided by 500 equals
$7 per drink. The total cost is always $3,500 but the per unit
cost changes depending on activity.
The cost charged for utilities is usually amixed cost. For
example, Big Drink pays a minimum charge regardless of how"
Principles-of-Managerial-Accounting-profitability::chunk_42,35,"The cost charged for utilities is usually amixed cost. For
example, Big Drink pays a minimum charge regardless of how
much electricity is used. The minimum charge is fixed because
it does not change depending on actual usage. Then they pay
a charge per kilowatt-hour used. Kilowatt-hours used is the
activity driver. The charge based on kilowatt-hour is variable
since it depends on usage. The total electric bill has both a fixed
and variable component so it is considered a mixed cost.
MANAGERIAL ACCOUNTING AND COST CONCEPTS | 19"
Principles-of-Managerial-Accounting-profitability::chunk_43,36,"Video Illustration 1-2: Cost
classification and cost
behavior LOs 2,3
Cincy Chips produces microchips for small
electronic devices. They produced and sold 600
microchips in the current month. Select financial
data for Cincy Chips is provided in Exhibit 1-2.
Determine the cost classifications and cost
behavior for the below costs.
The processes to solve the following scenario are
demonstrated in Video Illustration 1-2 below.
Exhibit 1-2 Cost classification/behavior
chart and video explanation
20 | MANAGERIAL ACCOUNTING AND COST CONCEPTS"
Principles-of-Managerial-Accounting-profitability::chunk_44,37,"Click icon or go to https://uc.mediaspace.kaltura.com/
id/
1_b5lweoau?width=896&height=866&playerId=4914
8882
Check your understanding LO3
An interactive H5P element has been
excluded from this version of the text. You
MANAGERIAL ACCOUNTING AND COST CONCEPTS | 21"
Principles-of-Managerial-Accounting-profitability::chunk_45,38,"can view it online here:
https://ucincinnatipress.pressbooks.pub/
principlesaccounting/?p=38#h5p-11
Relevant range of production
LO4
The relevant range of production is the range between a
minimum and a maximum production activity where certain
revenue and expense levels can be expected to occur. Revenue
and expense amounts will likely increase or decrease when
production activity falls outside of the relevant range. In a
manufacturing environment, product and period costs can
be estimated with a reasonable degree of accuracy within this
relevant range of production. Cost estimates are less likely to
be accurate when production f alls outside of the relev ant
range.
For example, at Cincy Chips the manufacturing line can
produce up to 1,000 units per day. Production in excess of
1,000 units per day would require the company to purchase
22 | MANAGERIAL ACCOUNTING AND COST CONCEPTS"
Principles-of-Managerial-Accounting-profitability::chunk_46,39,"a new manufacturing line which would significantly change
the current cost estimates. Therefore, maximum production
in the relevant range is set at 1,000 units.
Predicting mixed costs LO5
As mentioned in the preceding section, amixed cost has both
a variable and a fixed component. The variable component
of a mixed cost must change in relation to anactivity driver
for the cost to be considered mixed. Accordingly, the first step
to identify a mixed cost is to verify that the cost has a linear
relationship to an activity driver. A linear relationship means
that the c ost inc reases or de creases as the activity driv er
increases or decreases.
A scatter plot chart is used to determine if a cost has a
linear relationship to an activity driver. A scatter plot shows if
a linear relationship exists between two sets of data – cost and"
Principles-of-Managerial-Accounting-profitability::chunk_47,39,"a linear relationship exists between two sets of data – cost and
activity driver in this case. If a linear relationship is shown on
the scatter plot, then the cost is related to the activity driver.
If a linear relationship is not shown on the scatter plot, then
the cost is unrelated to the activity driver. A new scatter plot
may be prepared to determine if the cost is related to a different
activity driv er. Alternativ ely, the c ost ma y inc rease and
decrease randomly, meaning it is not fixed, variable, or mixed.
This is uncommon. Most recurring costs can be classified as
fixed, variable, or mixed.
MANAGERIAL ACCOUNTING AND COST CONCEPTS | 23"
Principles-of-Managerial-Accounting-profitability::chunk_48,40,"Before a scatter plot can be prepared, historical cost data
must be collected. To illustrate, assume that maintenance costs
are not fixed or variable. The manager believes the number
of units produced is the activity driver for maintenance costs.
Historical data for five months and the corresponding scatter
plot is provided in Exhibit 1-3. Since the scatter plot clearly
shows a linear relationship, maintenance cost is considered a
mixed c ost. The activity driv er is the number of units
produced.
Exhibit 1-3 Da ta f or ma intenance c osts a nd
corresponding scatter plot
24 | MANAGERIAL ACCOUNTING AND COST CONCEPTS"
Principles-of-Managerial-Accounting-profitability::chunk_49,41,"When a linear relationship exists, the formula for a linear
regression line can be used to predict mixed costs. The linear
regression line formula is given in Exhibit 1-4. This is also the
cost formula used to calculate mixed costs.
Exhibit 1-4 Cost formula to calculate mixed costs
Y = a + bx
Y = total cost
a = fixed cost
b = variable cost per unit
x = total activity driver
MANAGERIAL ACCOUNTING AND COST CONCEPTS | 25"
Principles-of-Managerial-Accounting-profitability::chunk_50,42,"High-low method for creating mixed
cost formulas
The high-low methodis a simple and widely used method to
estimate amixed cost's variable and fixed components. The
high-low method assumes that the difference in cost between
the highest use observation and the lowest use observation
is the variable portion of the cost. This method isolates the
variable costs attributed to the difference in the activity driver.
Continuing the example from the preceding section, the
high-low method can be used to estimate the fixed and variable
components of maintenance cost since the cost was identified
as mixed. It is important to note that when the relationship
between the cost and the activity driver is not perfectly linear,
the resulting cost formula is approximate.
The high-lo w method has f our steps. These steps are
outlined below and illustrated using the data in Exhibit 1-3."
Principles-of-Managerial-Accounting-profitability::chunk_51,42,"The high-lo w method has f our steps. These steps are
outlined below and illustrated using the data in Exhibit 1-3.
Step 1. Find the diff erence betw een the highest use
observation and lowest use observation.
Units
Produced Total costs
Highest (May) 1,460 $ 1,060
Lowest (April) 1,100 $ 932
Difference 360 $ 128
Step 2. Calculate the variable cost per unit by dividing the
26 | MANAGERIAL ACCOUNTING AND COST CONCEPTS"
Principles-of-Managerial-Accounting-profitability::chunk_52,43,"difference in cost by the difference in activity. The difference
between the highest use and lowest use is assumed to be the
variable portion incurred by the difference in activity.
$128 different in cost / 360 difference in units =
$0.356 (rounded) variable cost per unit.
Step 3. For the highest or lowest observation (both will
result in the same number), use the variable cost from step 2 to
calculate the fixed component.
Lowest o bservation (Ma y). In May, they produced
1,460 units and $0.356 per unit is v ariable. Total
variable costs are 1,460 x 0.356 = $520 (rounde d).
Subtract total variable costs from the total costs in May
to get total fixed costs, $1,060 – $520 variable = $540
fixed.
Highest observation (April). In April, they produced
1,100 units and $0.356 per unit is v ariable. Total
variable costs are 1,100 x 0.356 = $392 (rounde d)."
Principles-of-Managerial-Accounting-profitability::chunk_53,43,"1,100 units and $0.356 per unit is v ariable. Total
variable costs are 1,100 x 0.356 = $392 (rounde d).
Subtract total variable costs from the total costs in April
to get total fixed costs, $932 – $392 variable = $540
fixed.
Step 4: Create the cost formula using the data from steps 2
and 3.
The cost formula to estimate maintenance costs is
$540 fix ed p lus $0.356 v ariable c osts per unit of
production. Using the Y = a + b x c ost f ormula
introduced above, the cost formula for maintenance
MANAGERIAL ACCOUNTING AND COST CONCEPTS | 27"
Principles-of-Managerial-Accounting-profitability::chunk_54,44,"costs would be stated as $540 + $0.356x, whereas x is
the activity driver for the cost.
When the data is not perfectly linear, it is important to
note that the cost formula produced by the high-low method
only works on the highest and lowest observations since these
are the data points used in the calculation. To illustrate, refer
to the historical data for maintenance costs given in Exhibit
1-3. In January , 1,260 units w ere produc ed, and actual
maintenance costs were $980. The high-lo w method c ost
formula would predict or estimate the cost for January as $540
fixed + ($0.356 x 1,260) = $989 (rounded). Although the cost
formula produces a number that is slightly higher than the
actual cost of $980, the estimate is close enough to predict
costs for internal managerial accounting purposes.
Video Illustration 1-3: Using
cost behavior to predict
future costs LO5"
Principles-of-Managerial-Accounting-profitability::chunk_55,44,"Video Illustration 1-3: Using
cost behavior to predict
future costs LO5
Stephanie, the production manager, is collecting
data for the November budget. Cost data are
generated by the manager for each department.
The production manager is responsible for
28 | MANAGERIAL ACCOUNTING AND COST CONCEPTS"
Principles-of-Managerial-Accounting-profitability::chunk_56,45,"estimating the costs for rent expense, cost of
goods sold, and electricity. Data for September
and October are provided in Exhibit 1-5.
Complete the budget data for November.
The processes to solve the following scenario are
demonstrated in Video Illustration 1-3 below.
Exhibit 1-5 Budgeting chart and video
explanation
High-low method
Step 1 – Difference Step 2 – Variable cost
Step 3 – Fixed cost
MANAGERIAL ACCOUNTING AND COST CONCEPTS | 29"
Principles-of-Managerial-Accounting-profitability::chunk_57,46,"Click icon or go to https://uc.mediaspace.kaltura.com/
id/
1_xb7do2gt?width=896&height=866&playerId=4914
8882
Check your understanding LO5
An interactive H5P element has been
excluded from this version of the text. You
30 | MANAGERIAL ACCOUNTING AND COST CONCEPTS"
Principles-of-Managerial-Accounting-profitability::chunk_58,47,"can view it online here:
https://ucincinnatipress.pressbooks.pub/
principlesaccounting/?p=38#h5p-3
Traditional versus
contribution margin income
statement LO6
An income statement also referred to as a profit and loss
statement, reports an organization’s sales r evenue and
expenses for a specified period of time. Sales revenue is the
income received by a company from its sales of goods or the
provision of services. Expenses are the cost of operations that a
company incurs to generate revenue. Generally, the benefit of
the cost is used in the same period in which the corresponding
revenue is reported. The formula to compute net operating
income, sometimes referred to as net income or net profit, is
the organization’s revenues less its expenses. If an organization
has more rev enue, the resulting number is positiv e and
represents net income or profit. If an organization has more"
Principles-of-Managerial-Accounting-profitability::chunk_59,47,"has more rev enue, the resulting number is positiv e and
represents net income or profit. If an organization has more
MANAGERIAL ACCOUNTING AND COST CONCEPTS | 31"
Principles-of-Managerial-Accounting-profitability::chunk_60,48,"expenses, the resulting number is negative and represents a net
loss.
On atraditional income statement, costs or expenses are
classified as product or period. On acontribution margin
income statement, costs or expenses are classified asvariable
or fixed. Regardless of how the costs are classified, reported
net operating inc ome or loss is alw ays the same on both
income statement formats.
Traditional income statement
LO7
A traditional income statement is primarily use d f or
financial reporting purposes. A traditional income statement,
reports an organization’srevenue and expenses for a specified
period of time. On a traditional inc ome statement, the
organization’s expenses are presented based on product cost
and period cost classifications.
Video Illustration 1-4:
Traditional income statement
32 | MANAGERIAL ACCOUNTING AND COST CONCEPTS"
Principles-of-Managerial-Accounting-profitability::chunk_61,49,"explained
An example of a traditional income statement is
presented in Exhibit 1-6 and discussed in Video
Illustration 1-4.
Exhibit 1-6 Traditional income statement
and video explanation
MANAGERIAL ACCOUNTING AND COST CONCEPTS | 33"
Principles-of-Managerial-Accounting-profitability::chunk_62,50,"Click icon or go to https://uc.mediaspace.kaltura.com/
id/
1_zhr3zcfr?width=896&height=866&playerId=49148
882
Check your understanding LO6, LO7
An interactive H5P element has been
excluded from this version of the text. You
34 | MANAGERIAL ACCOUNTING AND COST CONCEPTS"
